date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:12:47	290142/290142	U-----	200	untouched ('')	image/jpeg	etag:%22e6db83249c237ef8d3bb9051d09b137f%22	https://assets-global.website-files.com/60358955e12a8a2413b99edc/603680bdb944ca60ece542a5_bg-3-match-esports-template.jpg	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8a2413b99edc/603680bdb944ca60ece542a5_bg-3-match-esports-template.jpg	(from https://esportstemplate.webflow.io/home)
19:12:48	127462/127462	U-----	200	untouched ('')	image/jpeg	etag:%223bfc6d045d5d1e149487408654b1994e%22	https://assets-global.website-files.com/60358955e12a8aa033b99eed/6036a378ae900b289b840721_image-6-blog-post-esports-template.jpg	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8aa033b99eed/6036a378ae900b289b840721_image-6-blog-post-esports-template.jpg	(from https://esportstemplate.webflow.io/home)
19:12:48	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:48%20GMT	https://esportstemplate.webflow.io/product/esports-team-shirt-white-line	D:/Websites/fragsyncop/esportstemplate.webflow.io/product/esports-team-shirt-white-line	(from https://esportstemplate.webflow.io/home)
19:12:48	222472/222472	U-----	200	untouched ('')	image/jpeg	etag:%22ba47e132e884417e196f9ccc3774ee9d%22	https://assets-global.website-files.com/60358955e12a8aa033b99eed/6036a989491209bfc36df462_image-2-blog-post-esports-template.jpg	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8aa033b99eed/6036a989491209bfc36df462_image-2-blog-post-esports-template.jpg	(from https://esportstemplate.webflow.io/home)
19:12:48	148486/148486	U-----	200	untouched ('')	image/jpeg	etag:%2244c19a1fbd7da3d9645860245cbbf6da%22	https://assets-global.website-files.com/60358955e12a8aa033b99eed/6036a91e3bf20805d9d86e06_image-3-blog-post-esports-template.jpg	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8aa033b99eed/6036a91e3bf20805d9d86e06_image-3-blog-post-esports-template.jpg	(from https://esportstemplate.webflow.io/home)
19:12:48	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:48%20GMT	https://esportstemplate.webflow.io/product/esports-team-hoodie-black-line	D:/Websites/fragsyncop/esportstemplate.webflow.io/product/esports-team-hoodie-black-line	(from https://esportstemplate.webflow.io/home)
19:12:48	165787/165787	U-----	200	untouched ('')	image/jpeg	etag:%225095cb7d0be98e6f53da46c1f290f0c6%22	https://assets-global.website-files.com/60358955e12a8aa033b99eed/6036a85a7493721fa6d4ab50_image-4-blog-post-esports-template.jpg	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8aa033b99eed/6036a85a7493721fa6d4ab50_image-4-blog-post-esports-template.jpg	(from https://esportstemplate.webflow.io/home)
19:12:48	232633/232633	U-----	200	untouched ('')	image/jpeg	etag:%2206d521dfea68f02420813f3650561b79%22	https://assets-global.website-files.com/60358955e12a8aa033b99eed/6036a789f04d9fda3fa02d7f_image-5-blog-post-esports-template.jpg	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8aa033b99eed/6036a789f04d9fda3fa02d7f_image-5-blog-post-esports-template.jpg	(from https://esportstemplate.webflow.io/home)
19:12:48	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:48%20GMT	https://esportstemplate.webflow.io/product/esports-team-hoodie-white-line	D:/Websites/fragsyncop/esportstemplate.webflow.io/product/esports-team-hoodie-white-line	(from https://esportstemplate.webflow.io/home)
19:12:49	50413/50413	U-----	200	untouched ('')	image/jpeg	etag:%223d2cff775d6c37ab00b751f995c4010f%22	https://assets-global.website-files.com/60358955e12a8a2413b99edc/603686c9b7df9139e41fb0f5_bg-cta-esports-template.jpg	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8a2413b99edc/603686c9b7df9139e41fb0f5_bg-cta-esports-template.jpg	(from https://esportstemplate.webflow.io/home)
